Section,Subsection,Checklist Item,Status,Priority,Stage,Gate,Reference,Notes
Technical Debt & System Integrity,Undeclared Consumers,Output schema versioning implemented,[ ],High,Production,Mandatory,docs/FAILURE-TAXONOMY.md,
Technical Debt & System Integrity,Undeclared Consumers,Contract testing for downstream systems,[ ],Medium,Scale,Advisory,docs/FAILURE-TAXONOMY.md,
Technical Debt & System Integrity,Undeclared Consumers,Threshold documentation complete,[ ],Medium,Production,Advisory,docs/FAILURE-TAXONOMY.md,
Technical Debt & System Integrity,Undeclared Consumers,Breaking change protocol established,[ ],High,Production,Mandatory,docs/FAILURE-TAXONOMY.md,
,,,,,,,,
AI Governance,Regulatory Compliance,EU AI Act mapping completed,[ ],Critical,Discovery,Mandatory,docs/LIFECYCLE-STAGES.md,
AI Governance,Regulatory Compliance,NIST AI RMF implemented,[ ],High,Pilot,Advisory,docs/LIFECYCLE-STAGES.md,
AI Governance,Regulatory Compliance,ISO 42001 alignment,[ ],High,Production,Configurable,docs/LIFECYCLE-STAGES.md,
AI Governance,Regulatory Compliance,Regional frameworks addressed,[ ],Medium,Production,Configurable,docs/LIFECYCLE-STAGES.md,
AI Governance,EU AI Act Prohibited,Social scoring ban verified,[ ],Critical,Discovery,Mandatory,docs/LIFECYCLE-STAGES.md,
AI Governance,EU AI Act Prohibited,Emotion recognition ban (workplace/education) verified,[ ],Critical,Discovery,Mandatory,docs/LIFECYCLE-STAGES.md,
AI Governance,EU AI Act Prohibited,Real-time biometric ID ban verified,[ ],Critical,Discovery,Mandatory,docs/LIFECYCLE-STAGES.md,
AI Governance,EU AI Act Prohibited,Subliminal manipulation ban verified,[ ],Critical,Discovery,Mandatory,docs/LIFECYCLE-STAGES.md,
AI Governance,EU AI Act Prohibited,Vulnerability exploitation ban verified,[ ],Critical,Discovery,Mandatory,docs/LIFECYCLE-STAGES.md,
AI Governance,EU AI Act Prohibited,Biometric categorization ban verified,[ ],Critical,Discovery,Mandatory,docs/LIFECYCLE-STAGES.md,
AI Governance,EU AI Act Prohibited,Untargeted facial recognition ban verified,[ ],Critical,Discovery,Mandatory,docs/LIFECYCLE-STAGES.md,
AI Governance,EU AI Act Prohibited,Risk classification completed,[ ],Critical,POC,Mandatory,docs/LIFECYCLE-STAGES.md,
AI Governance,EU AI Act Prohibited,Legal review for EU deployment done,[ ],Critical,Pilot,Mandatory,docs/LIFECYCLE-STAGES.md,
AI Governance,Governance Pillars,Cross-functional team assembled,[ ],High,Ideation,Mandatory,docs/LIFECYCLE-STAGES.md,
AI Governance,Governance Pillars,Risk assessment methodology defined,[ ],High,Discovery,Mandatory,docs/LIFECYCLE-STAGES.md,
AI Governance,Governance Pillars,Ethical guidelines published,[ ],High,Pilot,Advisory,docs/LIFECYCLE-STAGES.md,
AI Governance,Governance Pillars,Data governance framework established,[ ],High,Discovery,Mandatory,docs/LIFECYCLE-STAGES.md,
AI Governance,Governance Pillars,Audit trails implemented,[ ],Critical,Production,Mandatory,docs/LIFECYCLE-STAGES.md,
,,,,,,,,
LLM Evaluation & Testing,Evaluation Methods,Benchmark-based testing (MMLU),[ ],Medium,POC,Advisory,docs/CASE-STUDIES.md,
LLM Evaluation & Testing,Evaluation Methods,LLM-as-Judge implemented,[ ],High,MVP,Advisory,docs/CASE-STUDIES.md,
LLM Evaluation & Testing,Evaluation Methods,Golden datasets created (~200 prompts),[ ],High,MVP,Mandatory,docs/CASE-STUDIES.md,
LLM Evaluation & Testing,Evaluation Methods,Human review process,[ ],High,Pilot,Mandatory,docs/CASE-STUDIES.md,
LLM Evaluation & Testing,Quality Metrics,Accuracy tracking,[ ],High,MVP,Mandatory,docs/CASE-STUDIES.md,
LLM Evaluation & Testing,Quality Metrics,Relevancy scoring,[ ],High,MVP,Mandatory,docs/CASE-STUDIES.md,
LLM Evaluation & Testing,Quality Metrics,Faithfulness measurement,[ ],High,Pilot,Advisory,docs/CASE-STUDIES.md,
LLM Evaluation & Testing,Quality Metrics,Hallucination rate monitoring,[ ],Critical,Pilot,Mandatory,docs/CASE-STUDIES.md,
LLM Evaluation & Testing,Testing Types,Functional testing pre-deployment,[ ],High,MVP,Mandatory,docs/CASE-STUDIES.md,
LLM Evaluation & Testing,Testing Types,Regression testing after changes,[ ],High,Pilot,Mandatory,docs/CASE-STUDIES.md,
LLM Evaluation & Testing,Testing Types,Adversarial testing for security,[ ],High,Pilot,Mandatory,docs/CASE-STUDIES.md,
LLM Evaluation & Testing,Testing Types,A/B testing in production,[ ],Medium,Production,Advisory,docs/CASE-STUDIES.md,
,,,,,,,,
Metric Alignment & Evaluation,Proxy Problem,Metric mapping document created,[ ],High,Discovery,Mandatory,docs/CASE-STUDIES.md,
Metric Alignment & Evaluation,Proxy Problem,Negative correlation testing done,[ ],High,Pilot,Advisory,docs/CASE-STUDIES.md,
Metric Alignment & Evaluation,Proxy Problem,Long-term impact assessment completed,[ ],High,Production,Advisory,docs/CASE-STUDIES.md,
Metric Alignment & Evaluation,Proxy Problem,Multi-objective evaluation defined,[ ],High,Pilot,Advisory,docs/CASE-STUDIES.md,
Metric Alignment & Evaluation,Proxy Problem,Stakeholder metric sign-off obtained,[ ],High,MVP,Mandatory,docs/CASE-STUDIES.md,
Metric Alignment & Evaluation,Goodhart's Law,Adversarial metric analysis documented,[ ],Medium,Pilot,Advisory,docs/CASE-STUDIES.md,
Metric Alignment & Evaluation,Goodhart's Law,Multi-metric dashboard in place,[ ],High,Production,Mandatory,docs/CASE-STUDIES.md,
Metric Alignment & Evaluation,Goodhart's Law,Human-in-loop reviews scheduled,[ ],Medium,Production,Advisory,docs/CASE-STUDIES.md,
Metric Alignment & Evaluation,Goodhart's Law,Metric validity refresh cadence set,[ ],Medium,Optimize,Advisory,docs/CASE-STUDIES.md,
Metric Alignment & Evaluation,Goodhart's Law,Unintended consequence monitoring active,[ ],Medium,Production,Advisory,docs/CASE-STUDIES.md,
Metric Alignment & Evaluation,Counterfactual Awareness,Feedback loops identified and documented,[ ],High,Pilot,Mandatory,docs/CASE-STUDIES.md,
Metric Alignment & Evaluation,Counterfactual Awareness,Hidden loop detection completed,[ ],High,Production,Advisory,docs/CASE-STUDIES.md,
Metric Alignment & Evaluation,Counterfactual Awareness,Exploration strategy implemented,[ ],Medium,Scale,Configurable,docs/CASE-STUDIES.md,
Metric Alignment & Evaluation,Counterfactual Awareness,Off-policy evaluation capability,[ ],Medium,Optimize,Configurable,docs/CASE-STUDIES.md,
Metric Alignment & Evaluation,Counterfactual Awareness,Censored data acknowledged,[ ],Medium,Pilot,Advisory,docs/CASE-STUDIES.md,
Metric Alignment & Evaluation,Counterfactual Awareness,Debiasing strategy defined,[ ],Medium,Pilot,Advisory,docs/CASE-STUDIES.md,
Metric Alignment & Evaluation,Online Evaluation,A/B testing framework in place,[ ],High,Pilot,Mandatory,docs/CASE-STUDIES.md,
Metric Alignment & Evaluation,Online Evaluation,Shadow mode deployment capability,[ ],High,Pilot,Advisory,docs/CASE-STUDIES.md,
Metric Alignment & Evaluation,Online Evaluation,Interleaving capability (for ranking),[ ],Medium,Scale,Configurable,docs/CASE-STUDIES.md,
Metric Alignment & Evaluation,Online Evaluation,Guardrail metrics defined,[ ],High,Pilot,Mandatory,docs/CASE-STUDIES.md,
Metric Alignment & Evaluation,Online Evaluation,Statistical rigor documented,[ ],High,Production,Advisory,docs/CASE-STUDIES.md,
Metric Alignment & Evaluation,Online Evaluation,Experiment velocity optimized,[ ],Medium,Optimize,Configurable,docs/CASE-STUDIES.md,
,,,,,,,,
Prompt Engineering,Design Principles,Clear context provided,[ ],High,POC,Mandatory,,
Prompt Engineering,Design Principles,Customized for each task,[ ],High,POC,Advisory,,
Prompt Engineering,Design Principles,Tasks broken into steps,[ ],Medium,POC,Advisory,,
Prompt Engineering,Design Principles,Output specifications defined,[ ],High,MVP,Mandatory,,
Prompt Engineering,Design Principles,Input validation implemented,[ ],High,MVP,Mandatory,,
Prompt Engineering,Prompt Operations,Version control for prompts,[ ],High,MVP,Mandatory,,
Prompt Engineering,Prompt Operations,CI/CD integration,[ ],Medium,Pilot,Advisory,,
Prompt Engineering,Prompt Operations,Monitoring and iteration process,[ ],High,Production,Mandatory,,
Prompt Engineering,Prompt Operations,Prompts treated as software artifacts,[ ],High,Production,Advisory,,
,,,,,,,,
AI Strategy & Transformation,Strategy Workstreams,AI vision defined,[ ],Critical,Ideation,Mandatory,,
AI Strategy & Transformation,Strategy Workstreams,Build/buy decisions made,[ ],High,Discovery,Mandatory,,
AI Strategy & Transformation,Strategy Workstreams,Data quality evaluated,[ ],High,Discovery,Mandatory,,
AI Strategy & Transformation,Strategy Workstreams,Resourcing plan created,[ ],High,Discovery,Mandatory,,
AI Strategy & Transformation,Strategy Workstreams,Use cases prioritized,[ ],High,Ideation,Mandatory,,
AI Strategy & Transformation,Success Factors,Leadership buy-in secured,[ ],Critical,Ideation,Mandatory,,
AI Strategy & Transformation,Success Factors,Cross-functional teams formed,[ ],High,Discovery,Advisory,,
AI Strategy & Transformation,Success Factors,Clear business objectives,[ ],Critical,Ideation,Mandatory,,
AI Strategy & Transformation,Success Factors,Change management program,[ ],High,Production,Advisory,,
AI Strategy & Transformation,Success Factors,Governance framework established,[ ],High,Pilot,Mandatory,,
,,,,,,,,
Team & Process,Documentation,Architecture diagrams,[ ],High,MVP,Advisory,,
Team & Process,Documentation,API documentation,[ ],High,MVP,Mandatory,,
Team & Process,Documentation,Runbooks,[ ],Critical,Production,Mandatory,,
Team & Process,Documentation,Troubleshooting guides,[ ],High,Production,Advisory,,
Team & Process,Team Readiness,On-call training completed,[ ],High,Production,Mandatory,,
Team & Process,Team Readiness,Security training,[ ],High,Pilot,Mandatory,,
Team & Process,Team Readiness,Incident response training,[ ],High,Production,Mandatory,,
Team & Process,Team Readiness,Cross-functional understanding,[ ],Medium,Pilot,Advisory,,
Team & Process,Organizational Readiness,Data - Clean and accessible,[ ],High,Discovery,Mandatory,,
Team & Process,Organizational Readiness,Talent - AI skill-building program,[ ],High,Pilot,Advisory,,
Team & Process,Organizational Readiness,Governance - Documented policies,[ ],High,Pilot,Mandatory,,
Team & Process,Organizational Readiness,Culture - AI exploration encouraged,[ ],Medium,Ideation,Advisory,,
,,,,,,,,
Anti-Patterns: Case Studies,Zillow ($500M+ Loss),Adverse selection analysis completed,[ ],High,Pilot,Mandatory,docs/CASE-STUDIES.md,
Anti-Patterns: Case Studies,Zillow ($500M+ Loss),Regime change planning documented,[ ],High,Production,Mandatory,docs/CASE-STUDIES.md,
Anti-Patterns: Case Studies,Zillow ($500M+ Loss),Uncertainty quantification in decisions,[ ],High,MVP,Advisory,docs/CASE-STUDIES.md,
Anti-Patterns: Case Studies,Zillow ($500M+ Loss),Human override protocol defined,[ ],High,Pilot,Mandatory,docs/CASE-STUDIES.md,
Anti-Patterns: Case Studies,Zillow ($500M+ Loss),Asymmetric error costs evaluated,[ ],High,POC,Mandatory,docs/CASE-STUDIES.md,
Anti-Patterns: Case Studies,Amazon Recruiting (Bias),Proxy variable audit completed,[ ],High,POC,Mandatory,docs/CASE-STUDIES.md,
Anti-Patterns: Case Studies,Amazon Recruiting (Bias),Historical bias assessment done,[ ],High,POC,Mandatory,docs/CASE-STUDIES.md,
Anti-Patterns: Case Studies,Amazon Recruiting (Bias),Disparate impact testing performed,[ ],High,Pilot,Mandatory,docs/CASE-STUDIES.md,
Anti-Patterns: Case Studies,Amazon Recruiting (Bias),Bias reconstruction testing done,[ ],High,Pilot,Mandatory,docs/CASE-STUDIES.md,
Anti-Patterns: Case Studies,Amazon Recruiting (Bias),Regular fairness audits scheduled,[ ],High,Production,Mandatory,docs/CASE-STUDIES.md,
Anti-Patterns: Case Studies,Amazon Recruiting (Bias),Diverse evaluation team included,[ ],Medium,Pilot,Advisory,docs/CASE-STUDIES.md,
Anti-Patterns: Case Studies,Epic Sepsis (67% Miss),External validation mandatory,[ ],Critical,Pilot,Mandatory,docs/CASE-STUDIES.md,
Anti-Patterns: Case Studies,Epic Sepsis (67% Miss),PPV calculated in deployment context,[ ],High,Pilot,Mandatory,docs/CASE-STUDIES.md,
Anti-Patterns: Case Studies,Epic Sepsis (67% Miss),Alert fatigue assessment completed,[ ],High,Pilot,Mandatory,docs/CASE-STUDIES.md,
Anti-Patterns: Case Studies,Epic Sepsis (67% Miss),User trust tracking implemented,[ ],High,Production,Advisory,docs/CASE-STUDIES.md,
Anti-Patterns: Case Studies,Epic Sepsis (67% Miss),Local calibration strategy defined,[ ],High,Production,Mandatory,docs/CASE-STUDIES.md,
Anti-Patterns: Case Studies,Epic Sepsis (67% Miss),Regime change detection active,[ ],High,Production,Mandatory,docs/CASE-STUDIES.md,
Anti-Patterns: Case Studies,Universal Checks,Adversarial/gaming scenarios considered,[ ],High,POC,Advisory,docs/CASE-STUDIES.md,
Anti-Patterns: Case Studies,Universal Checks,Historical bias in training data assessed,[ ],High,POC,Mandatory,docs/CASE-STUDIES.md,
Anti-Patterns: Case Studies,Universal Checks,Proxy discrimination possibility checked,[ ],High,Pilot,Mandatory,docs/CASE-STUDIES.md,
Anti-Patterns: Case Studies,Universal Checks,External validation completed,[ ],Critical,Pilot,Mandatory,docs/CASE-STUDIES.md,
Anti-Patterns: Case Studies,Universal Checks,Alert/recommendation fatigue evaluated,[ ],High,Pilot,Advisory,docs/CASE-STUDIES.md,
Anti-Patterns: Case Studies,Universal Checks,Regime change blindness addressed,[ ],High,Production,Advisory,docs/CASE-STUDIES.md,
Anti-Patterns: Case Studies,Universal Checks,Point estimates include uncertainty,[ ],High,MVP,Advisory,docs/CASE-STUDIES.md,
,,,,,,,,
Healthcare & Mental Health AI,Crisis Detection,Suicide/self-harm detection (explicit AND indirect),[ ],Critical,MVP,Mandatory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Crisis Detection,Crisis response triggers safety resources,[ ],Critical,MVP,Mandatory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Crisis Detection,24/7 human escalation path available,[ ],Critical,Pilot,Mandatory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Crisis Detection,Responses validated to never encourage self-harm,[ ],Critical,Pilot,Mandatory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Crisis Detection,Dependency/addiction patterns monitored,[ ],High,Pilot,Advisory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Crisis Detection,Age-appropriate safeguards for minors,[ ],Critical,Pilot,Mandatory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Therapeutic Ethics,Contextual adaptation (not one-size-fits-all),[ ],High,MVP,Advisory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Therapeutic Ethics,Collaborative therapeutic style,[ ],High,MVP,Advisory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Therapeutic Ethics,Honest empathy (no deceptive phrases),[ ],High,Pilot,Mandatory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Therapeutic Ethics,Bias testing across gender/culture/religion,[ ],High,Pilot,Mandatory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Therapeutic Ethics,No reinforcement of false beliefs,[ ],High,Pilot,Mandatory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Therapeutic Ethics,Stigma testing across conditions,[ ],High,Pilot,Advisory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Therapeutic Ethics,Responses don't amplify rejection,[ ],High,Pilot,Mandatory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Clinical Validation,Independent third-party clinical validation,[ ],Critical,Pilot,Mandatory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Clinical Validation,Geographic validation in all regions,[ ],High,Pilot,Mandatory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Clinical Validation,Demographic validation across groups,[ ],High,Pilot,Mandatory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Clinical Validation,Unsafe recommendation prevention,[ ],Critical,MVP,Mandatory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Clinical Validation,Regulatory approval obtained (FDA/CE),[ ],Critical,Production,Mandatory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Clinical Validation,Clinician override always available,[ ],Critical,Pilot,Mandatory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Human-in-the-Loop,Human review for clinical recommendations,[ ],Critical,Pilot,Mandatory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Human-in-the-Loop,Clear AI disclosure to users,[ ],High,MVP,Mandatory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Human-in-the-Loop,Human handoff triggers defined,[ ],High,Pilot,Mandatory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Human-in-the-Loop,Usability tested with real patients,[ ],High,Pilot,Mandatory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Human-in-the-Loop,Clinical context preserved in automation,[ ],High,Production,Advisory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Longitudinal Safety,Cross-session pattern tracking,[ ],High,Pilot,Mandatory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Longitudinal Safety,Deterioration detection over time,[ ],High,Pilot,Mandatory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Longitudinal Safety,Session history integration,[ ],Medium,MVP,Advisory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Longitudinal Safety,Trend alerting for human review,[ ],High,Production,Mandatory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Scope Boundaries,Clear scope definition (will/won't do),[ ],Critical,POC,Mandatory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Scope Boundaries,Technical enforcement of boundaries,[ ],High,MVP,Mandatory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Scope Boundaries,User expectation setting upfront,[ ],High,MVP,Mandatory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Scope Boundaries,Graceful exit for out-of-scope needs,[ ],High,MVP,Mandatory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Scope Boundaries,Team prepared to shut down if needed,[ ],Critical,Pilot,Mandatory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Healthcare Regulatory,HIPAA/HITECH compliance verified,[ ],Critical,Pilot,Mandatory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Healthcare Regulatory,FDA SaMD classification determined,[ ],High,Discovery,Mandatory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Healthcare Regulatory,State mental health laws compliance,[ ],High,Pilot,Mandatory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
Healthcare & Mental Health AI,Healthcare Regulatory,Professional liability insurance adequate,[ ],High,Production,Mandatory,docs/HEALTHCARE-AI-CASE-STUDIES.md,
,,,,,,,,
Assured Intelligence,Uncertainty Quantification,Conformal prediction implemented with coverage guarantee ≥90%,[ ],Critical,MVP,Mandatory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Uncertainty Quantification,Calibration set properly held out (min 1000 samples),[ ],High,POC,Mandatory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Uncertainty Quantification,Prediction sets/intervals computed for all outputs,[ ],Critical,MVP,Mandatory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Uncertainty Quantification,Coverage guarantee validated on test data,[ ],High,Pilot,Mandatory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Uncertainty Quantification,Adaptive conformal methods for distribution shift,[ ],Medium,Production,Advisory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Uncertainty Quantification,Conformalized quantile regression for continuous targets,[ ],Medium,MVP,Advisory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Uncertainty Quantification,MAPIE or similar library integrated for classification,[ ],Low,POC,Configurable,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Uncertainty Quantification,Uncertainty bounds displayed in user interface,[ ],High,Pilot,Mandatory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Probability Calibration,Expected Calibration Error (ECE) measured <5%,[ ],Critical,MVP,Mandatory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Probability Calibration,Reliability diagrams generated and reviewed,[ ],High,POC,Mandatory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Probability Calibration,Temperature scaling applied post-training,[ ],Medium,MVP,Advisory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Probability Calibration,Platt scaling or isotonic regression evaluated,[ ],Medium,MVP,Advisory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Probability Calibration,Brier score tracked alongside accuracy,[ ],High,Pilot,Mandatory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Probability Calibration,Calibration monitored in production dashboards,[ ],High,Production,Mandatory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Probability Calibration,Recalibration triggers defined for drift scenarios,[ ],High,Production,Mandatory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Probability Calibration,Per-class calibration verified for imbalanced data,[ ],Medium,Pilot,Advisory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Selective Prediction,Abstention mechanism implemented for low-confidence predictions,[ ],Critical,MVP,Mandatory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Selective Prediction,Confidence threshold determined via coverage-accuracy tradeoff,[ ],High,Pilot,Mandatory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Selective Prediction,OOD (Out-of-Distribution) detection integrated,[ ],Critical,MVP,Mandatory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Selective Prediction,Epistemic vs aleatoric uncertainty distinguished,[ ],Medium,Pilot,Advisory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Selective Prediction,Human escalation path defined for abstained predictions,[ ],High,Pilot,Mandatory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Selective Prediction,Abstention rate monitored (<15% target in production),[ ],Medium,Production,Advisory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Selective Prediction,SelectiveNet or similar architecture evaluated,[ ],Low,POC,Configurable,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Selective Prediction,Coverage-accuracy curves documented for stakeholders,[ ],Medium,Pilot,Advisory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Causal Intelligence,Causal DAG constructed for domain problem,[ ],Medium,POC,Advisory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Causal Intelligence,Confounders identified and documented,[ ],High,POC,Mandatory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Causal Intelligence,Intervention effects estimated (ATE/CATE),[ ],Medium,MVP,Advisory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Causal Intelligence,DoWhy or CausalML library integrated,[ ],Low,POC,Configurable,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Causal Intelligence,Proxy discrimination paths audited,[ ],High,Pilot,Mandatory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Causal Intelligence,Counterfactual fairness analysis completed,[ ],Medium,Pilot,Advisory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Causal Intelligence,Backdoor/frontdoor criteria validated for estimates,[ ],Medium,MVP,Advisory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Causal Intelligence,Causal assumptions documented and justified,[ ],High,POC,Mandatory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Zero-False-Negative Engineering,Asymmetric error costs explicitly quantified,[ ],Critical,POC,Mandatory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Zero-False-Negative Engineering,High-recall first stage implemented (≥99.5% sensitivity),[ ],Critical,MVP,Mandatory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Zero-False-Negative Engineering,Layered ensemble architecture designed,[ ],Medium,MVP,Advisory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Zero-False-Negative Engineering,Anomaly detection layer for edge cases,[ ],Medium,Pilot,Advisory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Zero-False-Negative Engineering,Human-in-the-loop for remaining uncertainty,[ ],High,Pilot,Mandatory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Zero-False-Negative Engineering,False negative rate monitored with alerts,[ ],Critical,Production,Mandatory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Zero-False-Negative Engineering,Cost-sensitive learning applied where appropriate,[ ],Medium,MVP,Advisory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Zero-False-Negative Engineering,Recall-precision tradeoff documented for stakeholders,[ ],High,Pilot,Mandatory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Formal Verification,Input bounds verification implemented,[ ],Medium,Pilot,Advisory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Formal Verification,Output range constraints enforced,[ ],High,MVP,Mandatory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Formal Verification,Monotonicity constraints where domain-appropriate,[ ],Low,MVP,Configurable,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Formal Verification,Adversarial robustness testing completed,[ ],Medium,Pilot,Advisory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Formal Verification,Safety envelope defined for autonomous decisions,[ ],High,Pilot,Mandatory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Formal Verification,Constraint violation logging and alerting,[ ],High,Production,Mandatory,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Formal Verification,Formal methods tools evaluated (α β-CROWN Marabou),[ ],Low,POC,Configurable,docs/ASSURED-INTELLIGENCE.md,
Assured Intelligence,Formal Verification,Safety-critical paths identified and hardened,[ ],High,Pilot,Mandatory,docs/ASSURED-INTELLIGENCE.md,
,,,,,,,,
=== FAQ ===,,,,,,,,
Q: What score do I need for production?,"A: 61-80% = Production Ready, 81-100% = Enterprise Grade",,,,,,
Q: What are the absolute must-haves?,"A: Authentication, Rate Limiting, Error Handling, Monitoring, Backups",,,,,
Q: What is OWASP LLM Top 10?,"A: Security risks for LLM apps - Prompt Injection, Data Leakage, System Prompt Leakage",,,,,
Q: Which governance framework to follow?,"A: EU AI Act (mandatory in EU), NIST AI RMF (US), ISO 42001 (International)",,,,,
Q: How to optimize costs?,"A: Prompt engineering (15-25% reduction), caching, batching, smart routing",,,,,
Q: What is Training-Serving Skew?,"A: Differences in data processing between training and inference - causes silent failures",,,,,
Q: What is Goodhart's Law?,"A: When a measure becomes a target, it ceases to be a good measure",,,,,,
Q: What is the CACE Principle?,"A: Changing Anything Changes Everything - ML systems lack true modularity",,,,,
,,,,,,,,
=== INSTRUCTIONS ===,,,,,,,,
"1. Replace [ ] with [x] to mark items complete",,,,,,
"2. Use Status column for tracking: Not Started, In Progress, Complete, N/A",,,,,,
"3. Calculate score: (Completed items / Total items) * 100",,,,,,
